#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,UnionRewindInclude
1,Someday,The Strokes,69,106,"garage rock, indie rock, alternative rock",Rock,Is This It,7/30/2001,3:03,54,52,0,0,68,0,30,-7,A Major,4,3/13/2025,7hm4HTk9encxT0LYC0J6oI,RCA Records Label,11B,USRC10100769,1
2,California Gurls,"Katy Perry,Snoop Dogg",74,125,"pop, g-funk, west coast hip hop, gangster rap, hip hop, rap","Hip Hop, Pop",Teenage Dream,1/1/2010,3:54,79,75,0,0,40,0,10,-4,C Major,4,3/13/2025,6KOEK6SeCEZOQkLj5M1PxH,Capitol Records,8B,USCA21001135,1
3,Covenant Keeping God,All Nations Music,44,141,"gospel, worship","R&B, Pop",Sanctuary,8/27/2021,5:41,35,54,9,0,10,0,0,-9,F#/G♭ Major,4,3/13/2025,5TYKb080ndrX4eeTrZY8lx,RCA Inspiration,2B,USA5W2100143,1
4,Nothing Else Matters (Remastered),Metallica,70,142,"metal, thrash metal, rock, heavy metal, hard rock","Rock, Metal",Metallica (Remastered),8/12/1991,6:28,55,39,5,0,17,0,0,-10,E Minor,3,3/13/2025,2CtemffYhT0DJWcT1XW047,Blackened Recordings,9A,QMKHM1900008,1
5,Wet Dreamz,J. Cole,80,176,rap,Hip Hop,2014 Forest Hills Drive,12/9/2014,3:59,50,72,7,0,54,30,10,-8,F#/G♭ Minor,4,3/13/2025,4tqcoej1zPvwePZCzuAjJd,Roc Nation Records LLC,11A,USQX91402592,1
6,Waterfall,Toby Fox,55,140,soundtrack,Easy listening,UNDERTALE Soundtrack,9/15/2015,2:06,35,26,78,28,12,0,10,-16,E Minor,3,3/13/2025,2N2lDDaucbMUw1I1GxBrbc,Materia Collective,9A,USE831569629,1
7,Hell N Back,Bakar,72,210,,,Hell N Back,8/15/2019,3:33,63,68,31,0,73,50,10,-4,A#/B♭ Minor,4,3/13/2025,3NRql0A1Ef4RCvT473iqgD,Black Butter,3A,GBARL1900848,1
8,Just Wanna Rock,Lil Uzi Vert,71,150,melodic rap,Hip Hop,Just Wanna Rock,10/17/2022,2:03,49,55,7,0,4,0,0,-8,B Major,4,3/13/2025,4FyesJzVpA39hbYvcseO2d,Generation Now/Atlantic,1B,USAT22219211,1
9,Never Felt So Alone,Labrinth,68,98,,,Never Felt So Alone,4/7/2023,2:40,44,41,50,0,36,0,30,-4,F Major,3,3/13/2025,2NbsBSshscKIPRG3kwBbfo,Columbia,7B,USSM12302165,1
10,Yeah! (feat. Lil Jon & Ludacris),"USHER,Lil Jon,Ludacris",84,105,"r&b, crunk, southern hip hop","Hip Hop, R&B",Confessions (Expanded Edition),3/23/2004,4:10,89,79,2,0,58,10,0,-5,D Major,4,3/13/2025,5rb9QrpfcKFHM1EUbSIurX,LaFace Records,10B,USAR10301423,1
11,Ella Baila Sola,"Eslabon Armado,Peso Pluma",71,148,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos, electro corridos, banda",Latin,DESVELADO,4/28/2023,2:45,67,76,48,0,83,0,0,-5,F Minor,3,3/13/2025,3qQbCzHBycnDpGskqOWY0E,DEL Records,4A,USE7D2300007,1
12,Effy Stonem,Nick Mono,34,80,,,Effy Stonem,6/11/2021,2:40,47,89,64,60,75,10,10,-3,B Major,4,3/13/2025,7gIDK0p6N9wgLRIHnGZldA,Parlophone UK,1B,QZES52075273,1
13,Turn Yo Clic Up (feat. Future),"Quavo,Future",25,125,rap,Hip Hop,Rocket Power,8/25/2023,3:50,87,63,54,0,66,30,10,-5,B Minor,4,3/13/2025,1zU9ZanlnsT4te5s1PaQKd,Quality Control Music/Motown Records,10A,USUG12300053,1
