spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5WfPaCdvCn5UhXKtEbGSb3,North Face,"Kundo, Lamin",20,-3,30,DK,2024-01-09,49,False,160753,North Face,2024-01-05,0.774,0.653,1,-5.631,1,0.493,0.105,0.0,0.0908,0.75,147.091,4
1pA6YWfmMgbKHk36LtlcUP,Maudit,"Werenoi, Hamza",24,-2,-1,FR,2024-04-24,74,True,197568,Pyramide,2024-02-16,0.789,0.738,8,-5.198,0,0.184,0.294,0.0,0.0722,0.64,119.965,4
0Hz0ySp6XYrBhEQPU16Hz8,Valborg,Håkan Hellström,46,-34,4,SE,2024-05-02,59,False,198173,Det kommer aldrig va över för mig,2013-04-17,0.316,0.3,7,-12.51,1,0.0301,0.884,0.00368,0.0927,0.317,96.31,3
2nNgg0Sq1mi8uxOItcCVjo,Sport Billy,Booba,42,-12,8,FR,2024-02-15,66,True,126478,AD VITAM ÆTERNAM,2024-02-08,0.789,0.67,7,-8.266,1,0.276,0.124,5.7e-06,0.107,0.309,105.061,3
69zAnyBtarXinChSUq925t,Magot,"Werenoi, SCH",34,0,-9,FR,2023-10-28,74,True,196089,Telegram 2,2023-09-22,0.534,0.747,1,-6.412,0,0.315,0.231,0.0,0.21,0.523,98.229,3
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,AC/DC,49,1,1,CA,2024-09-08,86,False,210173,Back In Black,1980-07-25,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
4yJd9aQipzDTlkeXxPA52o,Neymar 2,"Capital Bra, UNDERAMOR CLIQUE, Caso, Miclo, Caps",43,-3,7,DE,2024-05-28,64,True,218514,Neymar 2,2024-05-24,0.661,0.452,5,-10.972,0,0.297,0.429,0.0,0.117,0.345,113.543,4
6EUcP55GlbmsmCzfL2vxtZ,on one tonight,Gunna,50,0,-7,CA,2025-01-16,84,True,90760,One of Wun,2024-05-10,0.887,0.727,4,-4.318,0,0.135,0.381,1.16e-06,0.213,0.932,130.035,4
4bz8Z7squfs2Yji2DwoujR,Asking,"Sonny Fodera, MK, Clementine Douglas",48,2,-6,IE,2024-02-09,80,False,191590,Asking,2023-07-07,0.477,0.854,4,-5.274,0,0.0896,0.0213,1.67e-05,0.19,0.395,126.965,4
7xLbQTeLpeqlxxTPLSiM20,aç bleiben,"Pashanim, RB030, Selim61",44,1,-5,DE,2024-10-18,70,False,123640,aç bleiben,2024-09-19,0.809,0.775,8,-8.17,1,0.0594,0.0432,0.0306,0.107,0.412,124.995,4
